,product_id
0,2102
1,2103
2,2104
3,2105
4,2118
5,2121
6,2122
7,2138
8,2139
9,2140
10,2141
11,2142
12,2146
13,2147
14,2153
15,2154
16,2155
17,2162
18,2163
19,2164
20,2165
21,2170
22,2171
23,2173
24,2174
25,2175
26,2176
27,2177
28,2178
29,2179
30,2182
31,2183
32,2184
33,2185
34,2186
35,2237
36,5817
37,26641
38,50451
39,50452
40,50516
41,50570
42,50571
43,54101
44,54102
45,54107
46,54114
47,54115
48,62608
49,62609
50,62610
51,62611
52,62612
53,62613
54,62614
55,62615
56,62616
57,62625
58,62626
59,62627
60,62628
61,62629
62,62630
63,62635
64,62636
65,62637
66,62644
67,62645
68,62646
69,62655
70,62656
71,62657
72,63773
73,63774
74,63775
75,65688
76,65689
77,65690
78,65691
79,70107
80,70108
81,71822
82,71823
83,72155
84,72156
85,72159
86,72168
87,72169
88,72764
89,74853
90,75824
91,75825
92,75826
93,75831
94,75832
95,75834
96,76594
97,76595
98,76598
99,76599
100,76602
101,76603
102,76604
103,78731
104,79448
105,80183
106,80184
107,80891
108,80892
109,80893
110,81257
111,81258
112,86746
113,86747
114,95986
115,96092
116,96093
117,96094
118,96095
119,96096
120,96097
121,103034
122,103903
123,103904
124,103905
125,103906
126,103972
127,103973
128,103974
129,103975
130,103976
131,103977
132,104120
133,104121
134,105095
135,105099
136,105100
137,111631
138,111632
139,111633
140,113162
141,113163
142,113167
143,113168
144,115339
145,115340
146,118385
147,118386
148,118447
149,118448
150,118449
151,118450
152,118503
153,118504
154,118505
155,118506
156,118507
157,118508
158,118509
159,118510
160,123550
161,123551
162,123552
163,123553
164,123554
165,123555
166,123556
167,123645
168,123646
169,124369
170,124370
171,124371
172,124372
173,124373
174,124486
175,125095
176,125096
177,125406
178,125407
179,125408
180,125409
181,128350
182,128351
183,128484
184,128485
185,129968
186,129969
187,129970
188,129971
189,129972
190,135403
191,137428
192,137429
193,141088
194,141089
195,141090
196,141091
197,141092
198,141093
199,141094
200,141095
201,141368
202,141369
203,141370
204,143070
205,143231
206,143471
207,143472
208,144638
209,144639
210,146460
211,146461
212,146542
213,146543
214,146544
215,146987
216,153148
217,155183
218,155184
219,163648
220,169112
221,169384
222,169385
223,171075
224,171076
225,173384
226,173385
227,173389
228,173390
229,173391
230,173394
231,173395
232,173397
233,173398
234,173399
235,173400
236,173401
237,176133
238,176134
239,176135
240,178147
241,178148
242,178149
243,178150
244,178451
245,178452
246,178453
247,178524
248,195905
249,195906
250,195908
251,195909
252,195910
253,195911
254,195912
255,195913
256,195914
257,195915
258,195916
259,195917
260,195918
261,197247
262,197248
263,197249
264,197250
265,197251
266,197252
267,197356
268,197357
269,197358
270,197359
271,228600
272,228601
273,228602
274,233448
275,233449
276,236902
277,236903
278,246328
279,246329
280,246732
281,246733
282,246734
283,246735
284,246736
285,246737
286,246738
287,246829
288,246830
289,246831
290,249347
291,254609
292,254610
293,254611
294,255118
295,255121
296,255122
297,255123
298,256498
299,256499
300,256500
301,269845
302,269846
303,269847
304,278426
305,278427
306,279357
307,281011
308,281012
309,281013
310,281014
311,284785
312,284786
313,284787
314,284788
315,286147
316,286148
317,286152
318,286153
319,287013
320,295540
321,295541
322,295545
323,295546
324,295547
325,295548
326,295560
327,295561
328,295562
329,295906
330,295907
331,295908
332,295909
333,295910
334,303387
335,303388
336,303389
337,304907
338,309493
339,309494
340,310863
341,313694
342,313695
343,315282
344,315283
345,315586
346,315589
347,316983
348,316984
349,317603
350,318583
351,318586
352,319913
353,324489
354,324643
355,325085
356,325167
357,339842
358,339843
359,339844
360,339845
361,341020
362,342191
363,342466
364,342467
365,342555
366,343118
367,344355
368,344356
369,344587
370,344588
371,344589
372,344590
373,345007
374,345068
375,348357
376,348358
377,348359
378,348360
379,348361
380,348362
381,348363
382,348364
383,350799
384,350800
385,350825
386,350826
387,350830
388,350863
389,350884
390,350885
391,350886
392,116458
393,353620
394,353621
395,354316
396,354317
397,356002
398,356003
399,356004
400,356005
401,356006
402,356007
403,356008
404,356009
405,356010
406,356011
407,356012
408,356013
409,356014
410,356015
411,356024
412,356025
413,356026
414,356027
415,356028
416,357219
417,357220
418,356226
419,356646
420,356647
421,373249
422,373250
423,373251
424,373252
425,373253
426,373254
427,359151
428,359165
429,359166
430,359337
431,359384
432,359385
433,279367
434,279352
435,279353
436,279354
437,279355
438,279356
439,279368
440,2106
441,2112
442,2113
443,2233
444,2234
445,2235
446,2236
447,361209
448,360230
449,361547
450,361910
451,361922
452,362385
453,363031
454,363032
455,363375
456,363573
457,363711
458,363721
459,364044
460,364318
461,364319
462,348953
463,348954
464,364895
465,364897
466,365138
467,365139
468,365140
469,105094
470,365881
471,366303
472,366304
473,2129
474,2130
475,2131
476,2136
477,2137
478,70105
479,70106
480,80426
481,367820
482,367821
483,368661
484,368672
485,368823
486,368825
487,368826
488,368836
489,369803
490,369804
491,374545
492,374546
493,370017
494,370018
495,370465
496,370466
497,370467
498,370468
499,371893
500,375559
501,372473
502,373233
503,373234
504,373235
